time,name,phase,C,C_dot,speed,pulse_force,PER_force,drag,distance,gait,frequency,left_force,right_force,vertical_speed,sink_force
0.13333333333333333,JELLY_B,4.197068236619843,0.07974665986807206,-0.8220764026899093,0.0008857564560807422,0,0.00910541061013887,0.00016527762098592362,0.0000619370947695677,J_PULSE_CRUISE,0.4346752084263426,0,0,0.0008855442968730303,0
0.13333333333333333,JELLY_C,2.6150694192120527,0.844300768882287,-0.8768360868614642,0.00045618407301772695,0,0,0.00010709007305107168,0.000032403199413834025,J_ASCEND,0.34640905035866965,0,0,-0.000036788750623256186,0
0.13333333333333333,CLIONE_1,1.1530251233219484,0,0,0.000048085618688121735,0,0,1.6107416061565865e-7,0.0000061578503482232845,slowhover,1.1356752858354273,6.130452064649993e-7,6.133708474097585e-7,0.000047175075717873826,0.0000026816588888072936
0.13333333333333333,CLIONE_2,3.7580501479109842,0,0,0.00013110344335036622,0,0,3.637975801354158e-8,0.000009554166603342666,slowhover,1.257468988815069,0.0000017617947629768635,0.0000017913432074099612,0.00013109356853143237,0.0000024068074237494818
0.13333333333333333,CLIONE_3,5.255420278580181,0,0,0.00012526728039261012,0,0,2.721264748661594e-7,0.000008222075813177234,slowhover,1.370805344786628,3.8365016516088934e-7,3.8386197638374586e-7,-0.00012391670157859558,0.0000021468127946407423
0.13333333333333333,CLIONE_4,2.7544675588292407,0,0,0.00005560423014576752,0,0,3.2752834554781877e-7,0.000006717756537678293,slowhover,1.4876993552179514,0.0000022916026364743186,0.0000022950058348896872,-0.000053763130964380996,0.0000029713671898141756
0.13333333333333333,CLIONE_5,6.455862490486067,0,0,0.00006723589294237533,0,0,4.816998619196735e-8,0.000003173347017924342,slowswim,1.609562585313529,0.0000020165085442706086,0.0000019916556178709775,0.00006715670304981414,0.0000019016750014810717
0.2,JELLY_A,1.280989032613282,0.03836819079228681,0.08169268447833747,0.00020828084743109926,0.000020271347642979494,0,0.00016230552253380443,0.000021722992852664432,J_DRIFT_IDLE,0.3692710438150892,0,0,-0.000207934615787935,0
0.2,JELLY_B,4.379101339859534,0.03389413725556456,-0.5488713774896959,0.0013354833241917242,0,0.009096764285323014,0.0001617304317133718,0.00013786431432459038,J_PULSE_CRUISE,0.4344687797522798,0,0,0.0013351763868548374,0
0.2,JELLY_C,2.760151306979774,0.7816426955218917,-0.9988141260633987,0.00068089016829244,0,0,0.0001263279605867518,0.0000712557835508928,J_ASCEND,0.34630544322407875,0,0,-0.00005439827030653195,0
0.2,CLIONE_1,1.6283228751614454,0,0,0.000021173796468872424,0,0,1.6797233646771231e-7,0.00000780162238749408,slowhover,1.133959867189167,3.9139974949226924e-10,3.949724495426437e-10,-0.000015816049417791696,0.0000026816588888072936
0.2,CLIONE_2,4.283635050933865,0,0,0.00012468921909783957,0,0,3.837476983620991e-8,0.000018496648841851795,slowhover,1.2527463533237788,5.556663017888709e-7,5.691901050410108e-7,0.0001246652867693269,0.0000024068074237494818
0.2,CLIONE_3,5.827894432689061,0,0,0.00012611773216439958,0,0,2.727793282451182e-7,0.00001709000957547442,slowhover,1.3636756395112681,0.0000015131941738966232,0.0000015288763512013257,-0.00012304721517812777,0.0000021468127946407423
